Id,SalePrice
1461,126752.48795021785
1462,168933.04393786803
1463,176205.94257659072
1464,192858.46887011622
1465,207772.6112392764
1466,173794.20791764348
1467,170068.32607618877
1468,169826.81797642514
1469,194254.7855217763
1470,128994.46523945089
1471,193975.77071172761
1472,94886.11232727424
1473,89396.02069791817
1474,151242.3899029466
1475,133396.71157926635
1476,397944.93241978326
1477,281598.3205587238
1478,333014.8438377908
1479,311611.9506601477
1480,603584.2204060593
1481,385916.88293911715
1482,238926.18393396158
1483,168808.4690136394
1484,175362.61247829325
1485,175016.61475070452
1486,187111.56532026967
1487,396449.3005793536
1488,255496.36001154434
1489,197390.2662161201
1490,221527.21384092828
1491,187817.71129473424
1492,89237.31556332999
1493,201771.8919553997
1494,318510.9761006072
1495,289205.8948171571
1496,232465.84452060692
1497,180791.05841990132
1498,165920.93880398013
1499,160754.224981816
1500,146853.1214333222
1501,174209.26588427182
1502,152414.40839826586
1503,345633.8928729215
1504,259818.17650902105
1505,235209.94134578132
1506,187199.75133795143
1507,253629.91506083315
1508,211913.7997290064
1509,167940.0066616564
1510,145231.96746759574
1511,134894.63033795002
1512,163483.27060145658
1513,138236.75270529473
1514,158447.79087730456
1515,202207.8356771999
1516,141825.80050045758
1517,170226.71536656554
1518,139572.7343155414
1519,211935.8778591439
1520,134760.22859394853
1521,132737.84148087777
1522,169089.97660157125
1523,117307.0063054394
1524,124539.15472053718
1525,123950.73656960513
1526,127320.31437377499
1527,105934.38915875572
1528,130855.24253405421
1529,149142.95756105598
1530,178783.56153840496
1531,94447.72477801565
1532,96041.99152482135
1533,141943.75859597593
1534,126300.86424675016
1535,148254.73669488198
1536,112350.2500096481
1537,69541.64534865107
1538,202160.30423668565
1539,227069.42148478483
1540,115623.45503044935
1541,145719.43478385758
1542,136467.38446409535
1543,229290.5385529572
1544,83652.65081901138
1545,113466.97643834873
1546,148281.76483927804
1547,140014.9160962326
1548,143102.05564427903
1549,109110.3858004895
1550,140413.71971212167
1551,124445.61975883976
1552,122845.3599394669
